date,time,test,negative,confirmed,released,deceased,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi-do,Gangwon-do,Chungcheongbuk-do,Chungcheongnam-do,Jeollabuk-do,Jeollanam-do,Gyeongsangbuk-do,Gyeongsangnam-do,Jeju-do
2020-01-20,16,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,16,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,16,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,16,22,21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,16,27,25,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-01-25,16,27,25,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-01-26,16,51,47,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-27,16,61,56,4,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-28,16,116,97,4,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-29,16,187,155,4,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-30,16,246,199,6,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
2020-01-31,16,312,245,11,0,0,4,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0
2020-02-01,16,371,289,12,0,0,4,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0
2020-02-02,16,429,327,15,0,0,5,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0
2020-02-03,16,490,414,15,0,0,5,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0
2020-02-04,16,607,462,16,0,0,5,0,0,1,1,0,0,0,8,0,0,0,1,0,0,0,0
2020-02-05,16,714,522,18,1,0,5,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-06,16,885,693,23,2,0,10,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-07,16,1352,1001,24,2,0,11,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-08,16,2097,1134,24,2,0,11,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-09,16,2598,1683,27,3,0,14,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-10,16,3110,2552,27,4,0,14,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-11,16,4325,3535,28,4,0,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-12,16,5624,4811,28,7,0,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-13,16,6511,5921,28,7,0,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-14,16,7242,6679,28,7,0,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-15,16,7734,7148,28,9,0,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-16,16,8161,7647,29,9,0,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-17,16,8718,7980,30,10,0,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-18,16,9772,8923,31,12,0,14,0,1,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-19,16,11173,9973,51,16,0,20,0,11,2,1,0,0,0,12,0,0,0,1,0,2,3,0
2020-02-20,16,13202,11238,104,16,1,22,8,30,2,1,0,0,0,12,0,0,0,1,0,25,3,0
2020-02-21,16,16400,13016,204,17,2,27,8,110,2,3,0,0,0,14,0,1,1,2,0,28,7,1
2020-02-22,16,21586,15116,433,18,2,30,11,193,2,6,2,1,1,20,6,3,1,3,1,145,7,1
2020-02-23,16,26179,17520,602,18,6,31,19,310,2,8,3,1,1,24,6,3,1,3,1,170,17,2
2020-02-24,16,32756,20292,833,24,8,35,34,483,2,9,3,2,1,35,6,3,1,3,1,193,20,2
2020-02-25,16,40304,25447,977,24,12,41,42,543,2,9,3,3,1,42,6,5,2,3,1,249,23,2
2020-02-26,16,53553,31576,1261,24,12,49,58,710,3,9,5,4,1,51,6,5,3,3,1,317,34,2
2020-02-27,16,66652,39318,1766,26,13,56,61,1132,3,9,9,11,1,62,6,8,12,5,1,345,43,2
2020-02-28,16,81167,48593,2337,27,13,62,65,1580,4,9,13,14,1,72,7,9,35,5,1,409,49,2
2020-02-29,16,94055,55723,3150,28,17,77,80,2236,6,9,13,17,1,82,7,10,55,5,3,488,59,2
2020-03-01,16,98921,61825,3736,30,18,87,83,2704,6,9,13,20,1,89,15,11,68,6,3,556,63,2
